w1,d0,d1,d2,d3,d4,label
10:1.5,660:2347:2969:596:2344:858:879:979:371:2266,2155:2306:449:743:11:2232:1387:577:2126:1151,901:2112:769:416:367:1407:1213:1251:354:2743,2999:448:2015:358:2536:340:1740:156:1855:1071,363:2394:1588:1073:1088:439:801:39:2995:1407,1
10:1.5,2982:2488:2442:2117:2244:1793:2446:500:2094:2683,2017:1552:2268:2608:1510:230:2540:2896:1315:792,2326:859:2829:1524:586:2193:1136:1820:2048:1861,723:1427:1219:2683:2780:1352:1977:2869:2422:2733,1258:1393:1554:2783:1555:1504:2456:928:1780:2301,0
10:1.5,1429:1446:1776:2681:156:2483:2808:2843:502:2668,562:1245:2122:225:1845:2970:2975:59:174:2409,1214:2999:2431:2864:2650:271:1153:2867:824:1614,1214:1156:2443:466:2595:1152:2275:2490:2603:2997,1016:2376:1220:2470:1241:1512:547:324:2699:1844,0
10:1.5,2:332:1347:448:2010:1980:513:2504:53:1275,316:1521:1477:540:1877:426:1433:2992:2390:1967,2491:2849:2227:2074:1637:714:1236:379:982:199,2946:2207:2751:846:949:2149:644:503:2180:2973,686:2318:1952:1068:100:2021:1229:1508:2345:2019,1
10:1.5,1015:297:959:2297:250:1637:2958:2164:1427:298,299:1898:2112:1794:1262:2267:85:2607:2625:1408,1699:341:89:951:1266:2182:2657:1883:2273:1385,2274:1606:2744:2594:693:2626:122:2770:2942:1915,2469:2467:1740:1579:150:332:1217:1543:1545:1243,1
10:1.5,1241:825:1414:2797:1148:2350:2654:2430:1278:1732,2978:1015:1044:1189:23:74:2315:1320:1908:2961,2942:1751:2628:2819:445:1471:1558:555:1474:1616,867:1316:884:1158:656:1209:1848:527:2665:2961,929:1047:1776:2488:2472:1406:885:2650:420:521,1
10:1.5,657:2378:2208:171:1213:48:177:949:1665:1919,1440:593:2631:2268:512:1831:987:1151:532:146,655:109:699:2997:2044:1730:118:1987:2683:1500,557:481:2224:2409:1057:1292:41:1355:460:134,1455:558:863:1618:234:1060:2936:1657:1264:1420,0
10:1.5,1666:1767:889:422:2416:2681:2845:2601:1477:1584,2591:2357:1146:780:2517:2079:2806:1933:557:1431,1933:639:2784:2799:273:1460:2579:595:1908:439,294:337:1425:2006:2257:915:2260:2618:2292:574,1675:1632:593:771:2208:724:2601:2223:2150:733,0
10:1.5,18:1178:1645:36:2260:2201:1518:1167:1253:1148,539:426:364:75:2811:657:2661:936:2463:2216,2165:790:863:1548:1488:1695:906:366:1375:2086,2986:254:336:891:2452:1809:1085:2923:242:1056,158:2615:2460:1990:1684:1449:1155:2653:2657:1834,1
10:1.5,337:1678:323:1315:2141:2414:1879:1262:256:1953,642:941:1854:1526:1480:705:1090:262:2152:767,916:1134:2838:1244:1546:2176:2047:1759:1738:2780,181:165:899:2916:1719:2584:1030:2334:1762:1894,315:374:2349:1818:2460:551:971:2557:2405:2096,1
10:1.5,224:832:2031:717:2510:1241:2620:1844:1662:287,2825:1156:337:206:1736:2982:37:2491:2398:2226,1318:1021:2232:1069:264:1487:341:2052:183:1313,1208:1022:266:2478:1945:1701:1660:1977:562:110,1645:721:581:2661:572:1410:648:2507:2682:859,1
10:1.5,1114:2783:886:2459:2264:2123:1350:1858:2171:2498,2169:1275:1112:556:2592:878:1568:1923:228:2052,2144:1894:2313:1963:737:2213:2438:530:932:2214,361:2129:2629:1349:498:973:231:2710:2359:2168,2876:1412:2904:831:1468:1307:2036:2602:391:2111,0
10:1.5,2912:572:2101:2971:2731:843:2942:512:1493:2586,737:2717:2727:346:2770:1931:1740:2933:1169:123,1992:677:1082:742:1153:1038:1285:2588:217:799,706:1275:1494:1179:1993:2080:95:2679:1248:1933,1586:2986:2767:711:1198:1089:976:934:1021:2543,1
10:1.5,895:1003:1018:302:809:215:2965:1669:392:615,107:830:485:2719:156:1634:517:2656:2293:1656,2516:746:1796:1550:1267:2537:538:2176:170:1489,80:1845:2451:2856:2141:2438:1393:1082:2327:1252,208:186:974:125:126:821:2333:1241:1693:107,1
10:1.5,2408:2247:960:55:1132:2547:588:1150:1891:488,1716:935:2558:1683:467:2588:822:2954:2065:352,639:2864:1433:631:1878:2865:648:2955:1439:431,2969:2813:2917:1869:554:1743:53:1117:513:2059,659:589:1793:88:1211:931:2475:1748:837:2786,1
10:1.5,740:2485:1216:2617:1012:2029:2261:1679:2626:1497,1681:2944:2172:1261:2491:1930:986:73:1142:1405,1402:2659:2290:856:2861:877:732:1788:478:1861,2402:1280:494:2651:1716:1774:154:2585:851:560,35:1132:1290:139:2003:679:2366:818:162:2681,0
10:1.5,222:2124:1541:241:2825:1178:949:2704:2576:1510,1499:2345:2672:2471:551:2556:951:2534:1012:2891,1749:2159:2861:1427:2810:1916:191:183:1571:2595,2561:114:2404:973:2251:1820:943:2785:1046:35,177:1703:570:770:615:458:1641:639:1181:255,1
10:1.5,2249:1152:363:1605:1580:2300:730:1427:1113:879,742:2273:2218:133:2504:2058:2293:932:1807:1983,2584:1222:1996:2842:2882:1246:2255:2018:2783:530,84:1674:2273:2326:2872:447:676:1309:2588:1829,342:2129:1745:1591:2567:636:1157:2561:1406:942,1
10:1.5,901:280:1796:2069:2408:2236:1168:1946:1641:1546,771:778:785:1702:1780:1643:335:2259:2228:2785,2345:2147:729:1314:1120:234:1883:1306:810:802,2268:710:854:2738:618:1149:960:1157:977:1611,1517:1071:1919:1682:2103:167:1254:1424:822:154,1
10:1.5,1402:580:2681:1369:912:2913:2711:2574:1974:1308,547:344:2801:1519:1346:1470:2938:1361:1674:644,1399:338:1693:2357:2218:1715:85:1155:2186:480,1077:1375:1015:735:1934:1074:593:2092:2815:171,1707:2782:1437:2613:158:2537:244:1903:435:980,1
10:1.5,103:1569:372:2188:2904:567:1074:2872:1374:2138,2838:30:2844:1705:1743:2607:358:448:1579:1000,1549:2932:2888:2221:12:544:2243:2238:2492:1731,1356:1905:760:2996:760:905:650:1747:2037:2895,1495:727:721:2335:1974:2936:2527:2887:643:1714,1
10:1.5,739:797:1466:875:2795:1977:32:497:2940:1917,1558:279:450:1221:424:988:2259:1934:1978:2914,1929:439:1276:2648:1475:1106:2236:2969:2696:642,1127:2079:2993:871:71:521:2010:1470:2018:696,470:580:2959:2176:425:2686:1848:804:2499:2015,1
10:1.5,640:2372:2346:1223:1517:1413:1042:2:2856:822,2294:440:1871:1763:2761:2450:2604:2733:285:243,1323:1522:1648:1787:2603:2849:2686:5:384:2358,1716:2438:1956:1227:1654:2074:2527:487:2314:51,2299:954:909:1882:2586:1722:1963:2355:1333:1104,1
10:1.5,1828:462:1113:1169:135:180:867:2224:361:1809,1298:269:1708:2558:2565:533:1356:2108:2528:218,1936:1965:1166:34:768:549:1961:1835:537:2632,2256:376:1431:2577:2255:1321:2816:648:1051:2241,2349:2:2058:359:846:923:2351:924:1499:438,0
10:1.5,2838:1651:2422:233:602:1673:1620:2368:2861:581,2198:2285:953:2458:2382:2432:663:1435:4:289,1553:1389:2861:734:2249:2445:2324:1228:2224:2028,2810:702:2567:2083:2302:796:1482:684:94:2418,1048:334:625:1047:1397:2450:535:2098:897:2257,1
10:1.5,71:2240:1190:1846:1922:928:2751:922:2915:1974,1069:1651:2640:653:970:1719:2343:2933:2125:1693,1554:1329:2891:822:846:1942:1256:437:1618:919,2626:736:7:1810:2186:305:2374:2417:958:2049,26:2587:1098:2243:2821:2834:1354:22:514:2533,0
10:1.5,2421:804:1314:1826:2052:523:1905:2590:2085:2392,242:1775:1291:1788:332:1107:1080:1648:368:1884,1052:1511:962:2811:2484:2984:552:2787:2978:2788,541:2260:1655:1919:1572:1987:2090:1232:12:1266,2065:1695:1207:105:105:1825:1036:2631:349:1452,1
10:1.5,1296:1522:274:2500:196:2394:1440:215:2395:2001,2509:2011:2145:1900:2099:1956:1030:1681:553:1215,873:1863:719:815:276:1599:1728:2885:894:1329,445:2334:2764:2388:378:55:1044:1778:1316:1278,209:520:2109:2069:1497:1935:1639:877:1137:2566,0
10:1.5,1555:2244:2790:1869:2020:1127:2589:337:1547:2761,850:1570:783:2043:2760:326:788:1882:383:2068,1858:2724:159:1664:2023:1041:2974:1765:1573:29,1126:705:2246:1304:1435:2297:2238:2751:61:1181,2151:690:1786:1368:2983:1591:2417:383:784:2741,1
10:1.5,840:1589:556:313:964:1254:384:85:1832:2951,222:821:955:2457:2856:1750:1254:2165:326:1613,2195:2187:520:1045:2625:998:590:230:1020:1785,2643:383:392:1026:852:191:2667:1989:419:1102,828:537:2487:1190:325:888:1591:2332:2405:1421,0
10:1.5,998:1680:2152:48:2340:443:2740:82:193:1135,2627:1847:763:2403:2251:2175:736:1486:290:2244,1961:2621:2666:2952:1378:498:994:91:1172:570,794:1358:939:2311:1719:1033:1345:2661:807:2652,1166:119:469:1822:1267:308:468:188:2039:66,0
10:1.5,842:2405:1204:146:855:188:836:306:515:1662,1205:1870:487:2450:2084:2308:1036:2472:2472:619,1245:2945:533:2009:313:380:514:2251:598:2676,2109:1549:248:186:1181:2552:76:2637:3:2334,638:2635:1009:1805:2788:154:1618:1967:2936:478,0
10:1.5,2197:2842:1816:625:672:1510:537:2923:2935:2357,1181:2563:709:763:2825:1759:2947:953:2095:1219,804:2910:2662:1394:443:707:1881:2952:1731:2215,106:221:2462:1532:2842:1764:914:226:623:2213,2373:2813:1193:1537:2774:689:1150:240:2653:639,1
10:1.5,1389:1970:1639:2043:2271:2040:2061:1688:1850:2212,1884:1891:537:2875:1322:2934:2478:2951:2518:2186,428:829:2475:2351:2971:2071:396:2029:2116:1793,790:487:2844:977:854:686:723:2158:2160:2957,1273:2282:379:2279:2070:2921:784:1126:867:1205,0
10:1.5,2118:917:2830:1207:1406:2839:358:2327:2703:1812,1005:1660:1454:2383:84:2829:1808:1484:2772:2974,2140:916:1675:2271:2288:845:2179:1600:891:2779,2468:362:234:2584:2074:1988:2019:2512:705:1648,2991:1016:2327:896:1994:1725:803:617:1024:2353,1
10:1.5,954:2200:1638:1411:439:545:2223:1627:1138:2266,2728:675:2442:1626:340:27:565:2999:2295:2415,1576:2399:148:1246:2831:2746:2158:514:1822:2714,878:1454:2901:2587:2281:595:1225:2532:847:2050,1514:2590:1681:2025:2252:1800:2401:1486:1987:677,0
10:1.5,2573:2078:801:6:562:2313:933:2101:1055:840,2389:1333:1384:266:555:163:1124:2262:2539:2200,2944:254:1135:995:1360:309:340:1701:2789:1820,644:1307:1483:2184:2343:267:2380:1173:2844:189,1411:1303:575:1260:1538:1872:2680:883:1153:1535,1
10:1.5,1522:2317:2233:2065:2592:2588:2751:178:2770:1675,1794:2292:15:1329:1497:1409:2419:2290:48:2080,552:593:956:1063:1742:1313:639:1155:2679:392,646:895:1771:2168:1139:287:2190:2924:341:2451,2105:2968:1253:1249:2720:377:507:2974:664:596,0
10:1.5,2064:692:1405:2500:1737:1565:304:2303:498:690,2439:2675:1434:710:2916:55:1706:2085:1129:1906,408:456:2883:62:984:301:2824:934:1363:2740,1829:1287:528:15:2722:2492:219:1132:849:214,702:1273:2047:884:1037:2547:334:1811:392:1928,0
10:1.5,1144:1597:2219:2634:2730:2587:2872:1981:2545:1407,208:1041:2575:1728:676:1793:2560:2922:1349:2536,587:2155:304:2169:1294:2687:102:455:888:2180,926:458:70:1631:2707:1944:1763:2473:346:1532,434:565:2861:2266:2637:2216:1820:1349:1116:746,1
10:1.5,2595:2505:2815:257:1787:1415:839:913:1804:270,2831:1849:1978:2980:1949:57:1677:860:1882:1020,1758:560:826:1043:2160:1145:1133:415:2998:845,859:1054:993:317:2333:2930:2974:1845:2110:1224,2020:914:571:2610:420:1595:2263:2653:1219:2352,1
10:1.5,1013:1059:2923:1577:1344:1341:807:1892:2825:1863,1800:224:2179:939:1009:398:397:2788:2842:964,281:1159:775:2104:2030:572:2118:2910:1234:1700,1038:2150:2728:744:1777:50:2556:1875:2750:208,1245:1283:2854:518:2430:586:1924:2096:1554:2801,1
10:1.5,1096:1689:1344:787:1790:912:317:1364:984:2452,282:1564:314:2128:2812:2265:1616:2155:2000:2667,2968:2436:1154:2059:2713:27:89:1354:1814:2283,816:2110:984:2565:2197:2043:2746:1683:2708:1938,1969:365:2121:1410:1212:1185:2045:1803:671:395,0
10:1.5,1536:1705:1252:588:16:1576:2404:149:978:886,1531:2220:2366:2842:651:2141:2685:293:103:738,1315:185:2589:1516:868:1998:2087:600:87:1815,1145:2930:1458:246:1795:2200:1279:2852:2120:426,4:1238:2843:2065:2690:1643:1318:2225:2553:504,0
10:1.5,2226:2910:1861:2042:2249:2448:2631:101:1234:253,487:1306:2258:385:324:2543:2399:161:24:647,2613:271:2630:1024:490:2727:1847:855:2204:2836,957:1314:1712:1842:1621:1092:375:1018:2002:1647,1814:2942:838:1219:2874:497:3:1572:2495:736,1
10:1.5,1835:965:803:2551:2673:2356:996:1923:914:1379,800:339:1571:372:2459:2634:2980:2945:2051:1122,2829:1116:2654:168:907:2191:150:1484:2897:2577,2368:1189:2866:2302:1595:1193:941:411:860:1596,901:1582:927:1793:1116:1621:2331:1898:572:1569,0
10:1.5,272:2369:409:2290:2380:518:2030:2124:874:685,1153:1746:1920:1229:1019:1188:1838:738:124:2227,2096:1849:900:1782:1498:2603:1:2564:777:907,452:658:1314:2517:1046:1802:2445:1966:1088:470,1582:1399:218:1476:2508:646:1785:2947:2241:887,0
10:1.5,2152:1787:1642:115:1747:1647:2163:175:92:1803,2089:519:374:2347:663:368:1397:1249:1600:1786,2743:478:1467:197:541:49:2010:1068:2631:2855,511:1646:2434:1834:2708:1244:2402:247:1303:1228,2614:53:1492:167:1986:716:924:2756:348:1327,0
10:1.5,1610:2969:431:918:805:1251:2336:1541:2553:1395,1976:550:1617:2819:2956:1445:1542:1511:1707:1055,1070:251:648:1442:1721:870:984:187:921:914,1756:2378:1642:2709:1502:2818:393:209:2928:11,888:1647:2088:2753:525:2608:1773:644:1400:2737,1
10:1.5,65:1919:228:2501:2556:1504:2043:634:1339:886,1275:1951:813:227:1799:2113:1595:2905:1222:570,2462:821:397:2340:2389:1226:2727:2191:2687:2149,326:2294:2001:789:1497:1915:2914:1192:2765:2102,2259:2442:443:1591:2228:2021:572:2118:568:1633,1
10:1.5,2391:497:1818:1229:1764:1600:716:80:688:1086,1529:2406:1483:1489:1033:1695:2159:608:2051:2978,1588:2057:2576:2075:70:2110:2258:2988:2210:2519,1652:2830:2407:918:2301:2320:2150:1173:1190:2264,1763:1483:964:2664:659:1483:857:1545:2011:109,1
10:1.5,2718:2269:2337:1119:229:1829:1030:1569:1011:2837,308:2366:2650:619:668:944:2769:1535:814:1482,1405:2335:200:2755:29:299:89:769:1389:2589,565:257:1187:592:1732:167:1904:2961:900:156,272:822:1665:2693:2145:2207:1056:1539:1570:611,1
10:1.5,2092:2829:1158:2287:2463:1564:117:1148:626:1066,514:865:647:234:1558:920:854:558:893:1228,40:325:110:2106:912:528:1359:2940:400:860,2978:2169:1084:1113:1853:2619:1002:518:2483:276,2001:2816:2833:391:1206:693:2258:485:718:1971,0
10:1.5,1352:1282:1223:2955:2272:797:2530:720:1923:1225,2186:2166:2050:1180:614:2048:976:1423:964:2336,2160:2075:2184:3:2205:2030:2071:1908:2889:962,2415:263:1204:2522:2854:2570:2905:507:863:389,2516:2343:2736:846:1518:1421:2427:2092:2954:1384,0
10:1.5,2588:1919:2742:922:1289:427:2647:773:2789:676,1060:588:250:559:921:494:2262:3000:2546:2604,2427:257:2938:732:2344:1618:609:1336:1095:715,1404:1761:1630:2721:1449:1432:908:1081:1694:866,583:1396:261:265:1850:781:884:1419:2211:1485,0
10:1.5,191:303:1992:1454:1623:371:2161:936:1413:1800,659:2763:1757:402:2290:1718:1:2353:2280:1772,673:132:2853:1272:2077:49:2177:372:2463:2027,2989:2903:2543:1046:999:493:824:1841:2366:2452,1434:281:1515:1771:1038:622:2717:143:2957:586,1
10:1.5,649:1209:2458:1944:560:658:1983:532:1433:76,627:228:1720:2826:1400:2773:1864:2252:1272:173,2967:2324:2419:484:1634:759:1923:1749:1207:2305,2147:969:2369:2036:2056:2750:212:1905:1775:1559,642:878:1013:2679:1787:1996:1752:1028:281:1874,1
10:1.5,67:1083:279:457:310:2412:405:2494:1556:1805,1877:2859:780:2022:2065:2315:87:1632:1590:1745,914:2072:1505:1423:783:2553:2534:341:1224:800,1272:1112:1682:876:186:640:1226:2510:1612:2451,1156:1304:2253:445:2829:983:552:2843:1137:2448,0
10:1.5,1278:1340:711:411:2314:1566:2672:475:926:1413,1893:2237:884:2800:2073:2828:2004:837:1138:1238,2584:2828:703:2433:2989:2448:2459:244:2191:157,526:2898:2911:2832:1263:2390:1279:2264:424:1408,25:331:812:1538:1170:977:1139:2050:2712:2603,0
10:1.5,1359:2511:2129:1546:1582:2569:1158:2117:1044:2410,384:1678:608:1900:571:2515:348:493:1694:875,323:1748:2890:1082:2957:257:197:536:2779:1291,907:1481:801:707:2656:397:2565:1417:2749:732,1929:1128:654:1224:407:299:2339:1005:1011:1629,0
10:1.5,128:357:1042:2370:2673:416:1274:1495:209:469,2065:2360:757:2579:1739:191:1608:151:2056:1153,2281:332:476:2565:1559:1240:1371:94:2267:708,1267:467:1061:57:2491:2514:1693:1819:350:195,815:311:871:2373:798:1580:819:2936:2286:2003,0
10:1.5,880:1503:2923:603:359:2570:2172:1073:273:529,2692:1710:1283:2722:2759:1447:1312:2845:351:1503,266:869:2824:1636:828:157:1895:2497:2311:2277,1437:1500:496:2208:1780:802:152:629:1158:2563,2420:67:2005:1300:2333:2389:1047:1793:1621:281,0
10:1.5,318:1310:1629:2156:5:1482:380:2346:2138:1099,2073:1488:1912:2243:2217:2422:2291:2467:719:176,1429:1277:2832:803:1609:920:377:268:821:488,548:1867:1845:466:2808:967:394:1434:2987:2545,18:1408:484:1939:490:2116:2399:246:756:1649,1
10:1.5,1616:836:2975:788:1751:871:240:1420:678:1412,624:2122:2093:352:989:1816:93:165:1956:553,1076:2729:1329:724:1130:2656:1111:2800:2390:682,1680:2880:141:1999:2516:48:2311:2324:1515:425,380:2098:251:1130:944:1415:2152:1340:2509:1183,0
10:1.5,2553:120:717:534:2432:1527:2161:2676:812:727,471:2914:883:1360:1593:2777:2283:114:287:2412,2095:723:2884:1373:2590:75:399:407:2850:1707,1681:23:2401:410:1457:1130:1587:1462:1781:2420,1838:888:952:2083:857:586:2999:2003:759:1862,0
10:1.5,1671:2297:2500:1088:408:2898:180:2834:88:1117,1093:2554:2896:2857:2083:1675:533:2316:1005:127,1130:1854:412:597:2619:1920:99:619:1904:704,1062:2454:1979:384:632:73:2286:1334:2177:1545,1900:2832:1073:1514:2942:827:1655:2291:1351:2237,0
10:1.5,1638:647:2046:2368:1814:1228:471:2849:1774:2087,230:407:1826:778:2997:186:2080:1135:1960:980,2233:2439:838:2204:2999:570:1807:2886:665:85,2401:2850:2757:2147:1841:2973:1925:1489:188:2526,1542:2986:2732:354:2522:1875:1690:2807:2114:1973,0
10:1.5,2543:2185:2978:1423:1777:1146:2196:2159:2039:747,450:1790:211:1657:1050:2397:2784:2350:2943:2336,821:2077:1711:2223:1159:1929:1777:496:1140:835,362:284:922:2012:1788:1239:1475:2791:1853:2761,1880:449:1177:186:1968:1141:1210:609:474:468,0
10:1.5,512:444:308:373:2650:1516:1534:2496:2917:2270,2748:1773:2419:2411:467:1048:99:2042:1240:2494,2420:1101:2949:345:2388:1022:2979:1235:2684:1944,1134:402:721:2729:283:2180:177:2827:2364:382,1845:1388:1725:1446:1401:1403:1628:681:2489:2089,1
10:1.5,314:355:2229:223:1721:199:1585:1687:1924:378,205:594:384:2065:2246:501:520:1996:1457:1289,1093:2649:1409:634:995:215:1490:2503:1722:2026,1816:2241:1049:2169:1192:228:2246:909:1720:2358,849:382:647:2929:709:690:227:240:2745:1306,0
10:1.5,602:1618:1697:1431:1342:2062:1686:2210:2433:582,1844:1298:2084:555:1183:2630:2967:32:1912:1625,2102:2693:2794:1091:635:1401:220:2247:2147:114,1294:839:1273:129:1071:834:344:429:2840:2219,467:2125:1352:2918:2652:1477:1070:1857:177:1338,0
10:1.5,2245:2857:1875:2331:1514:1010:2992:2559:1061:364,626:1769:100:1452:2785:1209:2448:2070:2185:196,73:2516:2510:1448:2899:2407:962:2333:1380:707,1735:292:1030:1994:945:2719:1566:223:2771:2978,1775:983:1546:1985:2008:241:2253:1147:1434:1216,1
10:1.5,2428:977:1273:1333:133:319:843:2624:2010:2811,294:1083:303:1974:892:43:2215:2257:778:553,2945:2683:1970:2716:472:1771:2873:955:580:1174,1937:2282:532:2032:856:734:517:588:363:512,2369:2471:1015:1666:1940:1262:2136:2796:179:1235,0
10:1.5,2580:2224:2117:1703:2662:1028:2428:119:2799:517,823:2248:2477:2545:2725:326:984:2806:2370:2668,325:1518:2389:2992:1076:630:248:2919:775:1436,2389:2308:2766:2187:1426:318:2907:2668:2288:1233,2644:727:1604:2623:204:331:1719:2065:1569:1199,0
10:1.5,2641:1312:1880:2414:600:349:2690:1457:2749:2908,2084:2194:1543:2085:2953:786:2941:432:1914:46,1419:476:2760:906:770:1183:1132:468:1999:1149,2717:1573:1483:2162:527:2976:1327:196:1794:1917,1321:1171:1356:2289:814:2343:772:327:27:1527,1
10:1.5,1799:652:2885:1263:2796:2889:787:2781:1341:1803,478:2787:658:1679:2840:554:642:2789:1384:2945,2957:437:910:2774:1075:758:629:1772:1237:1323,969:1400:35:2852:2799:244:2859:573:928:1761,2623:327:1100:2232:840:2203:399:2536:2077:1254,1
10:1.5,2792:1334:1957:1740:1749:2053:2418:696:875:2533,2648:597:2602:2253:60:839:2437:1809:1043:1030,2621:2750:2336:2181:875:1834:217:955:1032:2703,2135:955:1304:278:2740:2326:885:2908:1915:1553,61:1977:1553:523:2806:384:1423:1049:459:994,0
10:1.5,2591:447:1640:1418:1713:13:1146:1786:1331:842,1583:2653:2378:405:1189:2108:2642:2569:1819:2166,831:2774:1202:339:988:558:2189:1689:1861:1262,1563:1628:2391:910:124:2553:775:879:64:177,2802:1881:1431:2523:2239:2658:118:2396:1189:540,1
