age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,ext_0,ext_1,ext_2,ext_3,ext_4,ext_5,ext_6,ext_7,ext_8,ext_9,ext_10,ext_11,ext_12,ext_13,ext_14,ext_15,ext_16,ext_17,ext_18,ext_19,ext_20,ext_21,ext_22,ext_23,ext_24,ext_25,ext_26,ext_27,ext_28,ext_29,ext_30,ext_31,ext_32,ext_33,ext_34,ext_35,ext_36,ext_37,ext_38,ext_39,ext_40,ext_41,ext_42,ext_43,ext_44,ext_45,ext_46,ext_47,ext_48,ext_49,ext_50,ext_51,ext_52,ext_53,ext_54,ext_55,ext_56,ext_57,ext_58,ext_59,ext_60,ext_61,ext_62,ext_63,ext_64,ext_65,ext_66,ext_67,ext_68,ext_69,ext_70,ext_71,ext_72,ext_73,ext_74,ext_75,ext_76,ext_77,ext_78,ext_79,ext_80,ext_81,ext_82,ext_83,ext_84
6,7GO74,0,WEF71,43,UT3O3,MAW13,4H9P1,H95B7,9B2MD,55,16,54,OLGSW,>50K,BBP4L,ZOARR,QALIT,B62YF,1OKKH,2W2IE,29F78,H4QJ6,F8ZEN,8PI5U,28FX3,GMQ67,00RW8,FZM3E,XI91B,VX7NV,11X1J,VN96B,FOF1R,IEDBU,B9RQD,6TZ4A,3PNBO,41HHR,OI2GB,89TXG,FARZQ,LLUGI,D8ALQ,9EODK,ST528,HWU72,ZVXT2,Q743H,B08CO,9G8LL,H3ZIJ,65E6S,UTT23,U4071,J6LKU,I6UBP,0SCSS,9CH03,CX8ME,X8JF4,0TG6Q,4DOM9,JE98G,D0JHZ,W3W5S,RKI9A,1EZFA,WY5X9,B2QHK,4R9JO,F491W,UWBSP,UTW4U,QHGR1,NQBI8,MIXOC,CQF5C,0YAEW,IB5GI,SEH69,ZLQT3,ROTG6,PSBYN,7SWSH,EHUXV,VAXC7,FJSMB,58G23,NAMZ8,KIK1F,MZBFF,FD9BO,G8PXB,O42AV,AWKKQ,PUOK6,KMMUG,JYL7I,WOI58
45,XZ56M,24,R7LUA,24,JM40G,JVGNH,VK4CE,0NTAQ,HS6VP,60,1,77,ZZTAU,>50K,K104O,WXS99,E0I48,QALKF,FH5MX,RMNWA,OKU77,I8DXM,AFBEE,C342V,GS7CY,7V3IC,32X2B,DCA49,SP29C,L0KFR,K7QRI,9PZJG,RO07A,MTQXG,8WPF8,OBXGC,40NTM,3UMGB,AE94A,T8AWE,B4D2O,HM8OO,W0WVS,HCN7L,FV2CT,9F1M7,VPOOU,V0IO3,FPSJ4,TGS2I,PP0VE,VA1HQ,3U8KS,Q3BNS,XSPT6,53HRP,SLOAX,ETWAQ,LBNW1,W3V51,EJ2XS,AGD1L,XQX10,UCL3Y,A7IHR,PJOLW,O72KC,JT5Y0,8RCEM,VFOLV,NM0YK,AMFS8,FC1VO,CXSJ7,GLLKB,O1EE1,YXZB0,G2DYS,D709H,G1B6J,CAN8X,IAF16,7CGVL,K79JU,D023D,7X1ZT,K6GOW,AC060,AIQ7A,6QWOV,S4TA5,VVQZ6,ZRONF,O9JTI,6OZIY,TLJYM,UC05K,9PFVN,MGGU8
50,8U97Q,32,BQIKO,16,WY6NQ,31XCL,WRDXP,KV5T0,FVZ8C,96,10,31,5MZBT,>50K,HAPN6,286IG,RWS3Q,XLU4U,8A836,W5RMW,9ZJ0J,Y2LLM,D1J5X,BOO98,PFSVI,5J1T8,LY12W,AY0XB,93MND,6BB1S,1WMJ3,KZG5U,33AR0,D50H2,MS092,SLXDP,69DKV,BCD1E,EZ67H,R198X,OBXKA,UW06K,7520R,R414L,Y7DDK,MGJK8,J3XNR,QPLIE,HVL5G,WT961,5MAJ6,8W9VR,HIEDR,KDMB5,TEHZR,TZJVO,GAF2U,7CQVC,PZV7L,PTRSQ,GIAK8,T8M1V,EVHES,O11V4,B30R6,Z9EI2,8H9GN,Z4CHX,IFGUY,9U314,UG3KM,OAWCV,KZFSU,VD2AI,KUT9G,4KRE5,SHY8C,ATNI5,ZFEKT,SEH69,5ZJ6A,78QAD,30218,S6K5C,KOPP1,WAXG9,24YRC,SL0I8,RI21X,6JV41,3KCY3,USVAS,GYZSI,O9JTI,LLXPC,D7KVO,YMMYH,N8MXC,NZHZU
90,3JW5H,99,QRUCT,48,K93MQ,BTNBG,TL0LL,X49N0,XS99H,62,1,37,INVRT,<=50K,GRLUY,3MD3J,28L7A,RH5XM,69KEL,21FID,9M740,HL41Q,H9I2X,90ZQ0,ZJK4I,YVPJ6,8CR9K,KTE85,RHLDO,P5JX1,W18HD,H5R6G,YOMZC,1L5TJ,FFCEW,VEURW,W8Z5L,HFWA5,90FF6,NLGDJ,6K5EE,4R1XP,XFLRD,UWIKB,0OXWG,TO8JL,PLVBL,KHK8A,EZA90,22YXP,WY80C,JF4IQ,LYRFY,SWF0E,2BMBX,FG96I,A97W2,U2NOE,5T37M,521DL,1CD7V,INFF5,SDE5I,33DV0,EONHM,UFZ8Q,IDO6O,UGBMK,JZ5J1,710UN,B7G25,JLLA2,I36WS,L8N2C,VUHJ3,GB523,DVNL6,M35EP,4VBRH,3XJHB,3CS7M,XRXG4,KF1F5,8S33B,307EE,KQH5Z,YVP5O,G3RRG,0DA3B,5AEF5,X8Z0U,5S3UI,H1VYS,MTF99,UXUDE,Z331E,WF0V1,A12H9,SZLKU
43,XYVWS,4,U3JIB,30,YQ5OZ,23Z7S,C4IOK,AAOJ7,KD9N1,56,32,6,2UJKK,>50K,0SVEF,OVKVN,K7BAG,APC79,BYAHP,KV96T,7JWGW,XEBBP,7FYH4,QTKHY,P9OBJ,IUSX9,ZZOLV,EN1AI,6Q46Q,CHG64,146A9,M51TG,5ELKS,QZG81,8VQVT,DCWK0,ZRUKJ,ZHR8B,R7R78,6S1BC,WJU0J,8HUPS,SQMA4,PC2QU,9QEMV,QUOPE,NTMPM,AFOUG,2LU7E,V5AZE,F0GUA,XIELK,FMATW,1223E,6JWYV,TB041,A97W2,MGYZO,3B0A0,GYEXL,4HD5J,6IPXB,41K2R,B5KV4,37D41,7USPS,5SGHS,P6V7O,70D3F,KEA5K,JPG44,YBHDU,CQJQH,AXJX2,PZZPL,604ER,RSQ11,UMHCP,TTOUE,RB7HO,D4H4U,3DWFF,S4RT6,H94X7,W0DH9,2PEJE,O3M4F,Z7YGN,PR3PU,JN1HV,I89YW,52K7Y,1LLAN,AV8HN,E6QRP,47IKH,BLR1A,GB6W0,SZLKU
57,KHEZ4,69,XEWFG,98,YQ5OZ,LEUQ9,NP9TA,Y0HKF,G5TCK,78,90,8,QO41I,>50K,4ZHJO,JSDMK,K2HGP,T189U,BOWTD,VAHUS,O61RC,OKATF,JZQD9,7SPFO,P44E0,411SQ,TCTVT,T9YSS,MY2QX,Z4PWZ,NQ842,JIWK7,GQ3N3,V5OKP,2DF52,V2RBV,4NBFW,OCERT,GXTG2,67G4X,3TK83,X17SM,P56MI,DL21Q,65JKX,9SJKH,122MD,AYSKR,Q3RFM,FNY69,JQJG1,FZ0A5,HZYGF,RL8XI,QGU3K,OKVV7,J220G,9X469,8V727,SG67R,UC0VV,GGFGO,H3FPE,P1190,JQ17X,2OO0C,6R1ZE,4I8ZW,WJVOY,ABNIG,BGBM7,JLLA2,HUFQ8,JF5ZC,3ZVT4,OLE47,OFWVH,4D7XT,2D4PN,RW5PH,UFIQA,TXERI,NFYYE,7SWSH,TRZRV,TTYE7,J1N86,PGQ7Z,78BR2,OXRQ2,18D9R,BM6C2,R3464,5JYYE,1ARIY,16RL6,0CF3K,T49AH,EQ2MJ
40,K6ORE,50,NKYAF,27,5O873,8SJ02,SX2JM,LC1IZ,HOWOO,95,36,33,PUS9O,<=50K,RM2KB,JSDMK,QALIT,H6GZE,7HI8G,XGRW5,OB8ZY,71Z56,0KAAT,OSKTO,YIBI5,D8PXQ,SAJ2P,YGGWV,ZIL5F,ZKWVE,NQ842,RPLSB,FNXEU,OH9IN,O4ZWY,7DO9A,3JN00,JTH64,07G58,AE772,FIPFQ,0OATR,8I3L2,Z64KK,RD880,ZK3JX,J3XNR,2T49A,KK7JK,KTG3M,KCIGD,YZ3CZ,24B4N,57448,SW805,1F8P1,S3XUF,QZ02E,PELB0,803CR,YH68Q,DH5V1,P4N1M,358V9,4US8J,OAQW0,GYNO5,P4ASJ,78M6A,JA3ZM,KF1RA,BGXK1,TJTVF,ETSWB,9HVEO,PCHDC,R9WNB,N4YHD,BU28M,42YVU,6LESN,VC6TZ,YTT6E,7SWSH,HVK5S,BCRQ0,OD60Q,YC0J1,7EV7Q,48489,42ZGC,FRF17,W00KJ,B825H,O2NS4,BSU1D,YPAZF,ITV3Y,8I95U
16,F2NG7,50,2TJDV,18,43EPO,3H7V3,7L99S,4G1VC,G20EO,56,28,87,RA7ZX,<=50K,T96PL,ZC73H,6I7YE,TFNK2,UPKWU,9AFHT,JCKDG,YSRJC,YYHNJ,74IKW,8AHO5,NOK2I,42RM5,3AFO3,D25CI,7PA0T,RBXXU,5E3PH,I96PM,UG7BN,3KPCX,LJPSD,5E6KF,LOHL0,KT0FE,BCD8O,K002Y,UDHNS,FVEZL,6VZ4J,HRI8S,49MKW,CPNFG,Q743H,DZ9EA,BPL7X,WTNOC,P0B8F,L0EAU,S4P6L,KAYG0,HB24Y,S3XUF,G2HQO,1MTKP,SDO0C,3RP5L,TH1PS,0ZPNQ,7U6FW,0H0ST,UBG14,5Y9GT,GUIDE,IV9UR,P4MB1,8SG2Z,JGL7Q,XFCV8,VJBB1,AMN83,NZ162,RSQ11,86D9M,BU28M,3WHU0,7KSDJ,BZZA2,JV85S,71U4X,D73PT,TMURF,50K0U,PGQ7Z,5SESW,ETOI8,C7VRE,WZKNO,W0BLF,0U26I,YY8QJ,1VYZ9,88CT5,U6J4G,IIAC9
77,6DU3C,11,9HO4D,94,PENUX,3BZSV,GDVQD,EIC3G,5PIU3,79,28,59,IAA1B,<=50K,2Z71B,D3XFO,7LG5L,Z5UGD,FQ6SD,0WNVG,1N496,Z500Z,RTDB3,85YNM,M6RJZ,4CK9S,URM4K,B8TAA,F9BXV,8ID5H,7AI08,Y390Q,G2W0S,XWGAP,YJ5I6,1OW6H,U3DSN,H2KHM,XJBM1,FJBUL,JH9QS,6AA1R,A8VHV,MLZTE,WYZ6T,M7MSV,HWT56,RBJEA,KK9MC,S6CRZ,JQJG1,X3OCC,AY6QW,RBLKO,8C66F,QD1IP,T2C72,OM0SL,K56EJ,I8RUJ,JQK8M,36Y6O,2LTRR,75F7V,KQQ3S,TEIAN,KSHE2,CTR75,6LRC1,2DCO1,EW2BJ,POLOO,IGOM3,AXJX2,E43C3,UPTEO,G3CNU,6O3GB,UV5M0,IJ2H9,5VA9C,DES6L,T0HRO,LX403,OBFQC,7UFUW,KE5KU,70NKN,JMPP6,AHUAL,6EMV9,USVAS,3YIVJ,EOIFH,HW2HA,ZDXKP,EWAN8,C2FTF,B61HM
64,KXGM0,17,Z02AN,46,5O873,35Q1N,16OB0,7Y9RX,45E8W,8,44,71,BTR63,<=50K,2Z71B,C0MRO,2E6LA,3R4ZL,6KTEF,2W2IE,BS38G,7GZUX,ODIS3,BOO98,TGS24,0G5UO,58U4W,EN1AI,PTKWM,S5HEC,7PZCE,96VET,VYA2Z,7OWGO,JAR5Q,WWU0H,2UBG4,IGR55,YIVEL,A0V7R,X7KPU,RBM7D,3H6L0,YTE9X,5CNDP,3PP4E,FA4A5,K7HB0,JEOHL,0WF1B,81U1Y,QLK4A,SALJZ,TMFGZ,MH3XQ,LJZIA,3XW6I,AIIIM,CJCU1,P69PW,SMO2N,3H8ML,YDR0C,6HFNV,W5PIM,UFZ8Q,S184J,ETHXU,3XAS6,ZCR3Z,QVST2,5C0KA,JE37Y,MDROR,HMERG,BFBZX,IWZ0U,ZRF16,2GE8X,ON48M,6QYMC,4UUG1,Q79HP,YCU4T,E6J86,7V1WQ,6MIBZ,XI6RE,X1VB2,VT9K1,Z3TI6,ZZZJI,KL2LC,U0X8J,T5TFY,7H1MC,HHS5W,PQ8FP,KZGHD
8,E7K80,90,IIFLE,94,DK7U9,AMXXF,4HTFZ,0NTAQ,H5WZA,3,65,100,5CD4P,<=50K,M0CV4,EPS7M,7MFVI,XNLB3,FKZUS,KV96T,Q1UM9,KHSR6,LBXGR,976VZ,WN483,5KWXQ,8EO9S,2UL3M,FC31X,6UA6I,XLJCH,L5ZQZ,MZ5UH,AYGOY,BNGHH,V3OQ9,BMKSZ,PA7VV,QN5UA,11X2W,HEQ9H,HM8OO,YNY3E,CSHWE,HMCVA,P05CD,WVHZK,9462R,VDG4U,0KQU9,YZ12O,JN27S,LJ538,84KTH,CB5NN,WO5CQ,6JN9S,DT737,JA979,QHKMP,XEHC9,FJLKK,I3R7M,J0JN6,1US5B,9EH1O,G3Y6U,UQQMS,126SK,MUB8Q,XNAYH,GQHJP,4KZFT,MDROR,7A838,JVATL,QA27S,OMVP4,7BTYC,ND665,ULQRS,LFI5B,1FLUR,3D102,D023D,96QGT,F203C,40JBW,4699K,KWKX4,2O65S,KCK5Z,A8WAD,B825H,AD19L,755MP,K819O,Z67YS,GZK6C
10,5NY54,63,S1S7U,33,814BT,YBTME,7G7W9,6S4WP,6G4UI,33,71,77,M0Z0K,<=50K,MPDE9,10R32,K2HGP,BO7KM,97XJ0,ZN57Z,HBFN6,FFU2G,7FYH4,WT6Q7,S06BL,W09NU,ZHSD5,ZYC53,VDVME,OD0WW,EG45N,GA7HI,Z910A,YVTVR,BG3SQ,IGWW0,TQD8I,Q723X,V748E,VLNE8,OIDK8,6QQ98,VYMJF,1223Z,LIXH3,GQV6T,K2GPX,FYHP9,4EN6G,H9Z8B,AM9LT,1WW1K,EJ5IW,WR7T6,RZXG1,8EX3H,W03NO,VBAOL,RU1DE,YHK64,E2743,QWHPW,JD2CN,L3LQ3,9A6CH,8M5EX,JF6SG,KZ63Z,LU5IE,L7Q4O,A4WD2,U4SCB,7NGWL,G5J6E,4HYI6,OM1LN,YCS54,8ORYY,TICFH,Y52JZ,6AAIN,T25P8,1O0EY,HOLYN,V4DTS,VLUCF,LOLTX,ZOER0,FZR29,JMEVE,5HDGD,GXUGO,KX110,P9LFR,RLK8O,755MP,UC05K,GB6W0,HAMND
11,QV1HI,67,J2UYG,77,C5GB3,YBTME,BX59Q,JC5L2,WE9A0,49,2,58,JO5CI,>50K,1BE2J,36LOZ,DXSWY,EL6QI,LCEPD,0QJAY,A4W7Z,HP39C,C3J1R,OIV7D,1BAPG,49S37,3M8SU,NGUCC,CS7YB,E915O,VPFCU,UAOVJ,EC8K1,PX7UM,VSBW8,4QIM1,F89OI,PRL1I,V66Y1,46EAK,FB1AN,PPQS6,GC6FP,HXS5S,J96JR,SRQA8,ZUXU1,J038F,IRCQO,XQN1P,PE2G8,JU56X,BKGKF,KE9PF,E2L9C,SC465,80B8Y,U2NOE,LLI93,2T4DL,ZGZJ8,0C1QZ,YCGHQ,2WNW3,4XATD,XXMQT,1T4G8,CHLWD,UQD6M,ZH3HW,A4WD2,Z06TA,QUUKL,GGFVL,TLLS4,OM1LN,AE6GJ,2XRCC,NPHJ0,HWZL8,MVT17,T77AN,NX7JM,2HEI4,IVYFT,1EJ0U,48VRC,3O2LO,NG7FW,TZ2H2,W92TL,2WQWE,LUNIJ,5F2LJ,8HKV3,6QA5K,K819O,OXYXQ,MIGWE
